2016 일반화학
Year, R75, R70, R65, R60, R55, R50, R45, R40, R35, R30, R00 
2016, 4, 175, 834, 1630, 2370, 2341, 2418, 2272, 1664, 829, 183
2015, 27, 281, 781, 1654, 1876, 2425, 2550, 2284, 2019, 707, 61
