2016 일반화학
Year, R75, R70, R65, R60, R55, R50, R45, R40, R35, R30, R00 
2016, 4, 165, 895, 1707, 2372, 2147, 2109, 2563, 1969, 796, 32 
2015, 18, 229, 678, 1661, 2290, 2445, 2381, 2314, 1874, 665, 151
