2016 유기화학
Year, R75, R70, R65, R60, R55, R50, R45, R40, R35, R30, R00 
2016, 14, 230, 893, 1772, 2208, 2341, 2082, 2380, 2020, 759, 46
2015, 16, 245, 938, 1639, 1903, 2092, 2285, 2721, 2125, 689, 32
