2016 물리
Year, R80, R75, R70, R65, R60, R55, R50, R45, R40, R35, R30, R00 
2016, 10, 97, 281, 749, 1285, 2380, 2133, 2755, 2267, 1899, 834, 32
2015, 0, 72, 315, 891, 1373, 1870, 2311, 2691, 2696, 1770, 578, 100
